,Column,Feature,Importance Score
748,Column_748,aege,0
749,Column_749,aeger,0
750,Column_750,aeger ,0
751,Column_751,aeger b,0
752,Column_752,aeger f,0
753,Column_753,aeger fe,0
754,Column_754,aeger g,0
755,Column_755,aeger h,0
756,Column_756,aeger ha,0
757,Column_757,aeger hi,0
758,Column_758,aeger s,0
759,Column_759,aeger se,0
760,Column_760,aeger st,0
761,Column_761,aeger t,0
762,Column_762,aeger th,0
763,Column_763,aeger tu,0
764,Column_764,aeger tv,0
765,Column_765,aeger v,0
766,Column_766,aeger vo,0
767,Column_767,aegert,0
768,Column_768,aegerte,0
769,Column_769,aegertei,0
770,Column_770,aeh,0
771,Column_771,aeht,0
772,Column_772,aehte,0
773,Column_773,aem,0
774,Column_774,aemp,0
775,Column_775,aempf,0
776,Column_776,aempfe,0
777,Column_777,aempfer,0
778,Column_778,aen,0
779,Column_779,aeng,0
780,Column_780,aenge,0
781,Column_781,aenger,1
782,Column_782,aenger ,0
783,Column_783,aenger h,0
784,Column_784,aengeru,0
785,Column_785,aengerun,0
786,Column_786,aengs,0
787,Column_787,aengst,0
788,Column_788,aengstr,0
789,Column_789,aengstra,0
790,Column_790,aer,1
791,Column_791,aerk,0
792,Column_792,aerku,0
793,Column_793,aerkun,0
794,Column_794,aerkung,0
795,Column_795,aerkung ,0
796,Column_796,aerkungs,0
797,Column_797,aerm,0
798,Column_798,aerme,0
799,Column_799,aermei,0
800,Column_800,aermeis,0
801,Column_801,aermeiso,0
802,Column_802,aet,0
803,Column_803,aeti,0
804,Column_804,aetig,0
805,Column_805,aetigu,0
806,Column_806,aetigun,0
807,Column_807,aetigung,0
808,Column_808,aeu,2
809,Column_809,aeul,7
810,Column_810,aeule,59
811,Column_811,aeule ,1
812,Column_812,aeule i,0
813,Column_813,aeule in,0
814,Column_814,aeule o,0
815,Column_815,aeule ob,0
816,Column_816,aeule t,0
817,Column_817,aeule u,0
818,Column_818,aeule un,0
819,Column_819,aeus,0
820,Column_820,aeuse,0
821,Column_821,afe,1
822,Column_822,afel,0
823,Column_823,afel ,16
824,Column_824,ag ,0
825,Column_825,ag f,0
826,Column_826,age,1
827,Column_827,age ,0
828,Column_828,agef,0
829,Column_829,agefa,0
830,Column_830,agefac,0
831,Column_831,agefach,0
832,Column_832,agefach ,0
833,Column_833,ager,1
834,Column_834,ager ,1
835,Column_835,agg,0
836,Column_836,aggr,0
837,Column_837,aggre,0
838,Column_838,aggreg,0
839,Column_839,aggrega,0
840,Column_840,aggregat,0
841,Column_841,agr,4
842,Column_842,agro,0
843,Column_843,agroh,0
844,Column_844,agrohr,0
845,Column_845,ags,0
846,Column_846,agst,0
847,Column_847,agstr,0
848,Column_848,agstru,0
849,Column_849,agstruk,0
850,Column_850,agstrukt,0
851,Column_851,ah ,0
852,Column_852,ah t,0
853,Column_853,ahl,0
854,Column_854,ahm,5
855,Column_855,ahme,1
856,Column_856,ahme ,1
857,Column_857,ahme s,0
858,Column_858,ahme t,0
859,Column_859,ahme tr,0
860,Column_860,ahme tra,0
861,Column_861,ahmen,0
862,Column_862,ahmen ,0
863,Column_863,ahmen a,0
864,Column_864,ahmen h,18
865,Column_865,ahmen i,0
866,Column_866,ahmen in,0
867,Column_867,ahmen t,4
868,Column_868,ahr,0
869,Column_869,ahre,0
870,Column_870,ahrer,0
871,Column_871,air,0
872,Column_872,airb,0
873,Column_873,airba,0
874,Column_874,airbag,0
875,Column_875,airbag ,0
876,Column_876,ake,2
877,Column_877,aker,0
878,Column_878,aket,1
879,Column_879,aku,3
880,Column_880,akus,1
881,Column_881,akust,0
882,Column_882,akusti,0
883,Column_883,akustik,0
884,Column_884,al ,0
885,Column_885,al b,0
886,Column_886,al bf,0
887,Column_887,al bfs,0
888,Column_888,al f,0
889,Column_889,al fs,0
890,Column_890,ale,3
891,Column_891,ale ,0
892,Column_892,alev,0
893,Column_893,all,0
894,Column_894,allt,0
895,Column_895,alltr,0
896,Column_896,alltra,0
897,Column_897,alltrae,0
898,Column_898,alltraeg,0
899,Column_899,alt,28
900,Column_900,alta,0
901,Column_901,altab,0
902,Column_902,altabd,0
903,Column_903,altabde,0
904,Column_904,altabdec,0
905,Column_905,alte,61
906,Column_906,alteg,24
907,Column_907,altegr,13
908,Column_908,altegri,5
909,Column_909,altegrif,2
910,Column_910,altel,0
911,Column_911,altele,0
912,Column_912,altelei,0
913,Column_913,alteleis,0
914,Column_914,alter,2
915,Column_915,alter ,0
916,Column_916,alter a,0
917,Column_917,alter b,0
918,Column_918,alter f,0
919,Column_919,alter h,3
920,Column_920,alter s,0
921,Column_921,altl,0
922,Column_922,altlu,0
923,Column_923,altluf,0
924,Column_924,altluft,0
925,Column_925,altluftk,0
926,Column_926,alu,0
927,Column_927,alu ,0
928,Column_928,amb,0
929,Column_929,ambi,0
930,Column_930,ambie,0
931,Column_931,ambien,0
932,Column_932,ambient,0
