,Column,Feature,Importance Score
826,Column_826, sky ,0
825,Column_825, sky,0
816,Column_816, sitz ph,0
808,Column_808, sit,0
809,Column_809, sitz,0
810,Column_810, sitz ,0
813,Column_813, sitz m,0
814,Column_814, sitz ma,0
815,Column_815, sitz p,0
817,Column_817, sitz s,0
824,Column_824, sk,0
818,Column_818, sitz sr,0
819,Column_819, sitze,0
820,Column_820, sitzer,0
821,Column_821, sitzk,0
822,Column_822, sitzki,0
823,Column_823, sitzkis,0
843,Column_843, sr ba,0
844,Column_844, sr bas,0
845,Column_845, sr basi,0
872,Column_872, star,0
866,Column_866, st bomb,0
867,Column_867, st k,0
868,Column_868, st ku,0
869,Column_869, st kul,0
870,Column_870, st kule,0
871,Column_871, sta,0
873,Column_873, stark,0
864,Column_864, st bo,0
874,Column_874, stark ,0
875,Column_875, stark b,0
876,Column_876, stf,0
881,Column_881, stf hin,0
882,Column_882, stf u,0
883,Column_883, stf un,0
865,Column_865, st bom,0
863,Column_863, st b,0
846,Column_846, sr k,0
853,Column_853, sr mitt,0
847,Column_847, sr kl,0
848,Column_848, sr kli,0
849,Column_849, sr klim,0
850,Column_850, sr m,0
851,Column_851, sr mi,0
852,Column_852, sr mit,0
854,Column_854, ss,0
862,Column_862, st ,0
855,Column_855, ssg,0
856,Column_856, ssr,0
857,Column_857, ssr ,0
858,Column_858, ssr e,0
859,Column_859, ssr el,0
860,Column_860, ssr ele,0
2576,Column_2576,e mit e,0
2577,Column_2577,e mit ed,0
2580,Column_2580,e mitte ,0
4288,Column_4288,heckspo,0
4266,Column_4266,hbl a,0
4267,Column_4267,hbl au,0
4268,Column_4268,hbl aus,0
4269,Column_4269,hbl auss,0
4270,Column_4270,hbl o,0
4271,Column_4271,hbl ob,0
4272,Column_4272,hbl obe,0
4273,Column_4273,hbl oben,0
4274,Column_4274,hd ,0
4275,Column_4275,hd u,0
4276,Column_4276,hd us,0
4281,Column_4281,heckkla,0
4284,Column_4284,hecksc,0
4285,Column_4285,hecksch,0
4286,Column_4286,hecksche,0
4265,Column_4265,hbl ,0
4263,Column_4263,haut sky,0
4262,Column_4262,haut sk,0
4253,Column_4253,haut ob,0
4247,Column_4247,haut hk,0
4248,Column_4248,haut hkl,0
4249,Column_4249,haut n,0
4250,Column_4250,haut nd,0
4251,Column_4251,haut nd ,0
4252,Column_4252,haut o,0
4254,Column_4254,haut obe,0
4261,Column_4261,haut shd,0
4255,Column_4255,haut p,0
4256,Column_4256,haut pa,0
4257,Column_4257,haut pad,0
4258,Column_4258,haut pd,0
4259,Column_4259,haut s,0
4260,Column_4260,haut sh,0
4287,Column_4287,hecksp,0
4289,Column_4289,heckspoi,0
4328,Column_4328,hi be,0
4291,Column_4291,heib,0
4311,Column_4311,hev sch,0
4312,Column_4312,hev schw,0
